TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,165,165,163,164.62,59800
12-Oct-20,165,168.75,161,162.51,73200
13-Oct-20,159,159.01,153,155.81,51100
14-Oct-20,157,157.35,154.06,154.87,19300
15-Oct-20,156,157.5,154,154.73,24400
16-Oct-20,150.8,154.89,150.8,154.81,9000
19-Oct-20,155,155,151,152.17,23000
20-Oct-20,153,157,153,156.7,43100
21-Oct-20,156.98,156.98,150.01,150.62,235000
22-Oct-20,151,155,148,150.13,114000
23-Oct-20,149,154.5,142,153.02,293000
26-Oct-20,153,162.5,153,162.04,128800
27-Oct-20,161.5,162.4,158.5,158.76,79500
28-Oct-20,160,160,154.05,154.98,10900
29-Oct-20,150.14,153.2,145,147.96,83100
2-Nov-20,147,147,139.75,142.5,99800
3-Nov-20,144.98,149.95,144.98,149.93,53700
4-Nov-20,152,152,148,148.95,12400
5-Nov-20,150,153,150,151.09,19800
6-Nov-20,147.6,151.9,145,148.16,27100
9-Nov-20,151.49,151.5,146.6,146.96,19500
10-Nov-20,150.99,150.99,147.1,148.44,8300
11-Nov-20,145.51,150,145.51,148,31100
12-Nov-20,147.99,148.49,146,146.75,12500
13-Nov-20,145,148,145,145.01,4500
16-Nov-20,147.97,153.5,145.2,145.23,12700
17-Nov-20,147.49,148,145.5,145.78,12300
18-Nov-20,145.9,145.9,144.36,145.46,1300
19-Nov-20,146,148.4,145.85,145.85,2800
20-Nov-20,145.69,147.1,142.5,144.19,46900
23-Nov-20,143.75,144.99,141,144.38,15000
24-Nov-20,148.79,148.79,142,143.37,14400
25-Nov-20,146.5,146.5,140.4,141.91,25400
26-Nov-20,143,144.9,140.99,142.53,270100
27-Nov-20,140.7,143.1,140.6,141.9,37000
30-Nov-20,140.07,142.33,139,141.9,48600
1-Dec-20,142.79,143.5,142.5,143.38,123200
2-Dec-20,143.55,145,142.75,143.08,33600
3-Dec-20,144,147,143,144.78,28700
4-Dec-20,144,146,143,143.47,145900
7-Dec-20,144.95,145,142.1,143.17,173900
8-Dec-20,143.5,149.75,143.49,145.63,111200
9-Dec-20,146.8,146.99,144.4,145.15,75100
10-Dec-20,145.15,145.75,144,144.58,36000
11-Dec-20,145.15,147.45,144.3,146.75,49200
14-Dec-20,147,152,146.1,151.71,198800
15-Dec-20,152,159,151.71,154.08,184400
16-Dec-20,154.6,156.99,151.01,151.89,98300
17-Dec-20,152.9,152.9,150.1,151.68,7600
18-Dec-20,152,153,151.01,151.92,42200
21-Dec-20,154,154,150,150.08,23100
22-Dec-20,150.1,151.25,148,148.1,13800
23-Dec-20,151.99,155.5,148.5,152.03,76900
24-Dec-20,153,156,146.5,151.6,141700
28-Dec-20,153.96,154,150.02,150.85,100300
29-Dec-20,151.2,153.25,148.5,148.74,80000
30-Dec-20,147.1,150.49,147,148.7,104000
31-Dec-20,148.7,151,145,150.05,179900
1-Jan-21,153,153.9,148.5,149.48,167100
4-Jan-21,149.11,150,147,147.67,36200
5-Jan-21,145.9,151.98,145.25,148.59,110600
6-Jan-21,148.76,149.95,147,147.49,138200
7-Jan-21,149,152.5,144.76,150.38,904000
8-Jan-21,151.98,155,149,151.19,319700
11-Jan-21,151.94,152.9,149.25,149.77,180700
12-Jan-21,150.15,157.6,150.15,155.98,401500
13-Jan-21,156,161.25,155,157.38,911300
14-Jan-21,159,159,154.75,155.13,137200
15-Jan-21,155.82,155.86,153,153.94,97700
18-Jan-21,156.49,156.49,153.3,154.22,49900
19-Jan-21,154,155,152.9,153.01,68800
20-Jan-21,152.75,154.85,152,153.76,71100
21-Jan-21,153.5,154.97,153,153.79,20200
22-Jan-21,153.95,154,151.05,153.6,34200
25-Jan-21,153,158,151.3,156.1,109600
26-Jan-21,156,159.5,154.1,158.11,112700
27-Jan-21,155,168.7,155,167.85,606300
28-Jan-21,164,172,164,165.08,721600
29-Jan-21,164,168,161.5,162.08,273400
1-Feb-21,163.1,164.75,162.25,162.53,161200
2-Feb-21,162.75,164,162.75,163.57,66500
3-Feb-21,165.25,169.74,164.25,168.75,393100
4-Feb-21,170.6,174,170,171.35,747100
8-Feb-21,172,172.5,169.5,169.61,52100
9-Feb-21,168.35,172,168.35,169.68,76100
10-Feb-21,167,177.19,167,172.77,712500
11-Feb-21,176.75,177,170,170.32,264800
12-Feb-21,171,173,167.5,169.61,109100
15-Feb-21,171,172,168.5,169.01,79900
16-Feb-21,168.5,170.99,167.5,169.09,70300
17-Feb-21,170.99,181.77,170.99,180.14,2328800
18-Feb-21,181.45,182.9,176.3,176.63,139900
19-Feb-21,178.5,180,175,177.63,199100
22-Feb-21,176.15,181.5,173.15,180.5,178100
23-Feb-21,177,186.8,177,182.61,640500
24-Feb-21,183,185,179,182.98,154600
25-Feb-21,184.2,189.5,183,188.56,495500
26-Feb-21,189,194.01,189,189.73,182200
1-Mar-21,190,190,184,188.6,224400
2-Mar-21,188.6,191,187.5,189.93,59900
3-Mar-21,190.7,192,189,191.22,96800
4-Mar-21,186,191.22,182,182.4,106100
5-Mar-21,184.99,184.99,180,182.09,39900
8-Mar-21,183,183,173,173.83,125200
9-Mar-21,173,173,160.8,162,235600
10-Mar-21,164.9,164.9,158,159.53,72000
11-Mar-21,159,159,153,154.02,117900
12-Mar-21,154,164.54,152.5,162.19,223000
15-Mar-21,164.26,168.21,164,168.04,327900
16-Mar-21,165.51,171,165.51,166.61,37100
17-Mar-21,170.49,170.5,160.1,166.43,66100
18-Mar-21,165,167,163,163.14,41900
19-Mar-21,160,164.9,160,163.11,230400
22-Mar-21,163,175.3,158.07,172.13,161800
24-Mar-21,170,175,168,173.46,195800
25-Mar-21,174.99,174.99,168.5,169.8,154000
26-Mar-21,165.5,168,165,165.64,48600
29-Mar-21,166.1,166.1,158.11,160.1,56900
30-Mar-21,160,167.9,160,165.9,14100
31-Mar-21,164,171.99,164,169.69,80800
1-Apr-21,167,167.99,164.4,164.4,28900
2-Apr-21,164.4,168,161.25,164.94,42400
5-Apr-21,161.5,161.5,160,160.04,12500
6-Apr-21,160.4,169.99,160.4,168.86,36300
7-Apr-21,165.1,170.49,165,166.22,45700
8-Apr-21,167,171,167,169.78,81800
9-Apr-21,166.52,170.5,166.11,169.87,64900
12-Apr-21,169,176,168.5,171.84,151300
13-Apr-21,172,173,169.5,170,10700
14-Apr-21,170,170.05,169,169,11400
15-Apr-21,169,172,165.9,167.92,73300
16-Apr-21,167.04,171.94,166.1,170.31,188900
19-Apr-21,166.1,169.5,166,168,18700
20-Apr-21,168.5,169.95,168,168.31,37000
21-Apr-21,168.03,169.4,167,168.88,31100
22-Apr-21,167.3,172,165,170.44,77600
23-Apr-21,167.01,170,165.55,169.05,51500
26-Apr-21,166.25,170.99,166,170.01,168100
27-Apr-21,167.5,170.01,166,168.25,90400
28-Apr-21,167.9,169.5,161.1,167.98,54100
29-Apr-21,166.44,166.9,164.01,164.93,62500
30-Apr-21,165.01,166.7,160.5,164.97,37700
3-May-21,164,164,158.16,160.97,40000
4-May-21,161.5,164,158.01,163.33,13000
5-May-21,161.08,163.99,160,161.88,143000
6-May-21,164,164,160,161.23,10800
17-May-21,163.5,165,158.5,160.19,165200
18-May-21,160,161.5,159,159.9,45000
19-May-21,160.99,161,159,160.15,55000
20-May-21,161,161,157.01,159.02,66700
21-May-21,158.08,159.8,158,159.09,39600
24-May-21,161.75,165.3,160.55,161.42,158900
25-May-21,162.35,166.66,162.35,165.24,144100
26-May-21,166,170,165.3,168.54,165700
27-May-21,169.9,171,167.25,170.57,57600
28-May-21,170,175,168.26,173.98,187300
31-May-21,174.9,182,173.01,181.28,389300
1-Jun-21,178.25,181.4,175,179.24,236600
2-Jun-21,181,181,175,178.79,147300
3-Jun-21,177.01,181.5,177.01,179.64,61300
4-Jun-21,178.13,179.4,176.01,178.32,162500
7-Jun-21,178.1,179.75,176.05,178.13,46100
8-Jun-21,179.45,179.45,175.56,178.72,13800
9-Jun-21,179.99,180,177,178.59,21200
10-Jun-21,178.5,178.95,176.1,178.06,49800
11-Jun-21,178,178.49,176,177.17,27500
14-Jun-21,178.19,182,177.5,179.78,55600
15-Jun-21,179.39,182.5,178.5,180.14,188700
16-Jun-21,179.8,179.8,176.25,178.88,45700
17-Jun-21,178.25,180.7,177.95,179.57,56300
18-Jun-21,179,181.49,178.3,180.41,63900
21-Jun-21,178.51,181.45,178.18,180.82,11400
22-Jun-21,180,181.4,179,180.54,86100
23-Jun-21,180.54,181.9,178.6,179.81,81200
24-Jun-21,180,180,178.02,179.6,43800
25-Jun-21,180.5,180.5,177,178.54,58900
28-Jun-21,178.25,180,176,179.16,64800
29-Jun-21,180,181,176.15,179.66,73000
30-Jun-21,180,183.45,177.25,179.82,552200
1-Jul-21,181.5,181.5,178.1,179.08,43200
2-Jul-21,179.95,179.95,177,178.73,21900
